Rk,Player,2021-22,Signed Using,Guaranteed
176,Isaac Okoro,6720720,1st Round Pick,13761600
177,Jalen Suggs,6593040,1st Round Pick,13515480
178,Cameron Payne,6500000,Early Bird,14500000
179,Joakim Noah,6431666,,6431666
180,Jarrett Culver,6395160,1st Round Pick,6395160
181,Khem Birch,6350000,MLE,20002750
182,Collin Sexton,6349671,1st Round Pick,6349671
183,Juancho Hernangómez,6175440,Bird,6175440
184,Onyeka Okongwu,6104280,1st Round Pick,12499440
185,Justin Holiday,6006420,Non Bird,12298860
186,Josh Giddey,5988000,1st Round Pick,12275400
187,Rudy Gay,5890000,Mini MLE,12074500
188,Dennis Schröder,5890000,Mini MLE,5890000
189,Patty Mills,5890000,Mini MLE,5890000
190,Kevin Knox,5845978,1st Round Pick,5845978
191,Coby White,5837760,1st Round Pick,5837760
192,Timofey Mozgov,5573334,,5573334
193,Killian Hayes,5572680,1st Round Pick,11410440
194,Mikal Bridges,5557725,1st Round Pick,95557725
195,Shai Gilgeous-Alexander,5495532,1st Round Pick,178045532
196,Jonathan Kuminga,5466360,1st Round Pick,11206320
197,Miles Bridges,5421493,1st Round Pick,5421493
198,Jaxson Hayes,5348280,1st Round Pick,12151292
199,Pat Connaughton,5333333,Early Bird,5333333
200,Michael Porter Jr.,5258735,1st Round Pick,150538735
201,Ryan Anderson,5214584,,5214584
202,Hamidou Diallo,5200000,Bird,5200000
203,Kevon Looney,5178572,Bird Rights,5178572
204,Troy Brown Jr.,5170564,1st Round Pick,5170564
205,Obi Toppin,5105160,1st Round Pick,10453440
206,Franz Wagner,5007840,1st Round Pick,10266120
207,Josh Jackson,5005350,Room Exception,5005350
208,JaVale McGee,5000000,MLE,5000000
209,Robin Lopez,5000000,MLE,5000000
210,Kendrick Nunn,5000000,Mini MLE,5000000
211,Lou Williams,5000000,Bird,5000000
212,Luol Deng,4990000,,4990000
213,Rui Hachimura,4916160,1st Round Pick,11179348
214,Garrett Temple,4910000,Sign and Trade,10065500
215,Cory Joseph,7310000,Room Exception,7310000
216,Taj Gibson,4910000,Room Exception,4910000
217,Torrey Craig,4878049,MLE,10000000
218,Rajon Rondo,2641691,,4858309
219,Bruce Brown,4736102,,4736102
220,Deni Avdija,4692840,1st Round Pick,9609000
221,Donte DiVincenzo,4675830,1st Round Pick,4675830
222,Cam Reddish,4670160,1st Round Pick,10624614
223,David Nwaba,4650000,Early Bird,9672000
224,Furkan Korkmaz,4629630,Bird,15000000
225,Davion Mitchell,4603320,1st Round Pick,9436920
226,Ish Smith,4500000,Room Exception,4500000
227,Jeff Green,4500000,MLE,4500000
228,Jalen Smith,4458000,1st Round Pick,4458000
229,Lonnie Walker IV,4447896,1st Round Pick,4447896
230,Cameron Johnson,4437000,1st Round Pick,10324899
231,Ziaire Williams,4373160,1st Round Pick,8965080
232,Maurice Harkless,4347600,Non Bird,8912580
233,Bobby Portis,4347600,Non Bird,4347600
234,Jarred Vanderbilt,4259259,Bird,13800000
235,Kevin Huerter,4253357,1st Round Pick,69253357
236,Devin Vassell,4235160,1st Round Pick,8672160
237,P.J. Washington,4215120,1st Round Pick,10023555
238,James Bouknight,4154400,1st Round Pick,8516640
239,Josh Okogie,4087904,1st Round Pick,4087904
240,Grayson Allen,4054695,1st Round Pick,24054695
241,Tyrese Haliburton,4023600,1st Round Pick,8238720
242,Tyler Herro,4004280,1st Round Pick,9726396
243,Dorian Finney-Smith,4000000,Bird Rights,44182480
244,Terence Davis,4000000,Early Bird,8000000
245,George Hill,4000000,MLE,8000000
246,Gorgui Dieng,4000000,MLE,4000000
247,Aaron Holiday,3980551,1st Round Pick,3980551
248,Joshua Primo,3946800,1st Round Pick,8091120
249,Jake Layman,3940184,Sign and Trade,3940184
250,Anfernee Simons,3938818,1st Round Pick,3938818
251,Justise Winslow,3902439,Mini MLE,8000000
252,Jevon Carter,3833333,Early Bird,7950617
253,Kira Lewis Jr.,3822240,1st Round Pick,7826520
254,Romeo Langford,3804360,1st Round Pick,9438617
255,Facundo Campazzo,3804150,Bi-Annual Exception,3804150
256,Landry Shamet,3768342,1st Round Pick,46768342
